iter	Passed	Remaining
0	0	81
1	1	69
2	3	99
3	5	134
4	7	135
5	7	122
6	10	138
7	11	137
8	12	129
9	13	124
10	15	124
11	16	119
12	16	113
13	17	107
14	18	102
15	18	98
16	19	93
17	19	90
18	21	89
19	22	88
20	22	86
21	23	84
22	25	83
23	25	81
24	27	82
25	28	80
26	29	79
27	30	78
28	31	76
29	33	77
30	34	77
31	35	75
32	36	73
33	36	71
34	37	69
35	38	68
36	39	66
37	39	64
38	40	64
39	41	62
40	43	62
41	43	60
42	45	59
43	46	58
44	47	57
45	47	56
46	48	54
47	49	53
48	50	53
49	54	54
50	55	53
51	59	54
52	59	53
53	60	51
54	61	50
55	61	48
56	62	47
57	62	45
58	63	44
59	64	43
60	66	42
61	66	41
62	67	39
63	68	38
64	69	37
65	69	35
66	71	35
67	72	33
68	72	32
69	73	31
70	75	30
71	75	29
72	83	30
73	83	29
74	84	28
75	85	27
76	86	25
77	86	24
78	87	23
79	88	22
80	89	20
81	89	19
82	90	18
83	91	17
84	95	16
85	96	15
86	97	14
87	98	13
88	99	12
89	99	11
90	100	9
91	100	8
92	101	7
93	101	6
94	102	5
95	102	4
96	104	3
97	104	2
98	106	1
99	107	0
