iter	Passed	Remaining
0	148	148641
1	149	74604
2	150	49869
3	150	37494
4	151	30083
5	151	25136
6	152	21604
7	153	18978
8	153	16929
9	154	15279
10	154	13928
11	155	12806
12	156	11860
13	156	11045
14	157	10342
15	158	9736
16	158	9190
17	159	8703
18	160	8266
19	160	7872
20	161	7516
21	161	7199
22	162	6904
23	163	6634
24	163	6384
25	164	6153
26	164	5939
27	165	5740
28	165	5555
29	166	5383
30	167	5222
31	167	5071
32	168	4929
33	168	4795
34	169	4668
35	169	4549
36	170	4436
37	171	4330
38	171	4228
39	172	4136
40	173	4048
41	173	3965
42	174	3885
43	175	3809
44	176	3736
45	176	3670
46	178	3614
47	179	3552
48	179	3491
49	180	3429
50	181	3369
51	181	3311
52	182	3255
53	182	3201
54	183	3149
55	183	3098
56	184	3049
57	184	3002
58	185	2956
59	185	2912
60	186	2869
61	186	2829
62	187	2790
63	188	2752
64	188	2715
65	189	2679
66	189	2643
67	190	2609
68	190	2576
69	191	2544
70	192	2514
71	192	2485
72	193	2457
73	194	2429
74	194	2403
75	195	2376
76	196	2350
77	196	2325
78	197	2301
79	198	2277
80	198	2253
81	199	2229
82	199	2203
83	200	2180
84	200	2158
85	201	2137
86	202	2120
87	202	2102
88	203	2083
89	204	2063
90	204	2043
91	205	2024
92	205	2006
93	206	1989
94	206	1971
95	207	1954
96	208	1937
97	208	1920
98	209	1903
99	209	1887
100	210	1872
101	210	1857
102	211	1841
103	212	1826
104	212	1811
105	213	1797
106	213	1782
107	214	1768
108	214	1754
109	215	1741
110	215	1727
111	216	1714
112	216	1703
113	217	1690
114	218	1678
115	218	1665
116	219	1653
117	219	1641
118	220	1630
119	220	1619
120	221	1608
121	221	1597
122	222	1586
123	223	1576
124	223	1566
125	224	1557
126	225	1547
127	225	1538
128	226	1529
129	227	1520
130	227	1511
131	228	1502
132	229	1493
133	229	1485
134	230	1476
135	230	1466
136	231	1458
137	232	1450
138	232	1442
139	233	1433
140	233	1424
141	234	1415
142	234	1407
143	235	1399
144	235	1391
145	236	1383
146	236	1375
147	237	1367
148	238	1359
149	238	1351
150	239	1344
151	239	1336
152	240	1329
153	240	1321
154	241	1314
155	241	1307
156	242	1300
157	242	1293
158	243	1286
159	243	1279
160	244	1272
161	244	1265
162	245	1258
163	245	1252
164	246	1247
165	247	1241
166	247	1235
167	248	1229
168	248	1223
169	249	1217
170	249	1211
171	250	1206
172	251	1200
173	251	1194
174	252	1189
175	252	1183
176	253	1177
177	253	1172
178	254	1166
179	254	1161
180	255	1155
181	255	1150
182	256	1145
183	257	1139
184	257	1134
185	258	1129
186	258	1124
187	259	1119
188	259	1114
189	260	1110
190	261	1106
191	263	1109
192	264	1106
193	265	1102
194	266	1099
195	267	1095
196	267	1091
197	268	1087
198	269	1084
199	270	1080
200	270	1076
201	271	1071
202	272	1067
203	272	1063
204	273	1059
205	273	1056
206	274	1052
207	275	1048
208	276	1047
209	279	1050
210	280	1047
211	280	1043
212	281	1040
213	282	1036
214	282	1032
215	283	1028
216	284	1024
217	284	1021
218	285	1017
219	285	1013
220	286	1010
221	287	1006
222	288	1003
223	288	1000
224	291	1004
225	292	1001
226	293	999
227	294	996
228	295	993
229	295	989
230	296	987
231	297	984
232	298	981
233	298	977
234	299	974
235	300	971
236	300	967
237	301	964
238	302	961
239	302	958
240	303	955
241	303	951
242	304	948
243	305	945
244	305	942
245	306	940
246	307	937
247	308	934
248	308	930
249	309	927
250	310	925
251	310	922
252	311	920
253	312	917
254	312	913
255	313	912
256	314	909
257	315	906
258	315	904
259	316	901
260	317	898
261	318	896
262	319	894
263	319	891
264	320	889
265	321	886
266	321	883
267	322	881
268	323	878
269	323	875
270	324	873
271	325	870
272	326	868
273	326	865
274	327	862
275	328	860
276	328	857
277	329	855
278	330	852
279	330	850
280	331	847
281	331	844
282	332	842
283	333	839
284	333	836
285	334	834
286	335	832
287	336	830
288	337	829
289	337	827
290	338	824
291	339	822
292	339	820
293	340	818
294	341	815
295	342	813
296	342	811
297	343	809
298	344	806
299	344	804
300	345	801
301	345	799
302	346	797
303	347	794
304	347	792
305	348	790
306	349	788
307	351	788
308	351	787
309	352	784
310	353	783
311	354	781
312	355	779
313	355	777
314	356	775
315	357	773
316	357	770
317	358	768
318	358	766
319	359	763
320	360	761
321	360	759
322	361	757
323	361	755
324	362	752
325	363	750
326	364	749
327	365	748
328	365	746
329	366	744
330	367	742
331	367	740
332	368	738
333	369	736
334	369	734
335	370	732
336	371	730
337	371	728
338	372	726
339	373	724
340	373	722
341	374	720
342	375	719
343	376	717
344	376	715
345	377	713
346	378	711
347	379	710
348	379	708
349	380	706
350	381	704
351	381	702
352	382	700
353	383	698
354	383	697
355	384	695
356	385	693
357	385	691
358	386	690
359	387	688
360	388	686
361	388	685
362	389	683
363	390	681
364	390	680
365	391	678
366	392	676
367	392	674
368	393	673
369	394	671
370	395	670
371	396	668
372	396	666
373	397	664
374	397	663
375	398	661
376	399	660
377	400	658
378	400	656
379	401	655
380	402	653
381	403	652
382	403	650
383	404	648
384	405	647
385	405	645
386	406	644
387	407	642
388	407	640
389	410	641
390	410	639
391	413	640
392	414	639
393	414	638
394	415	636
395	416	634
396	416	633
397	417	631
398	418	629
399	418	628
400	419	626
401	420	624
402	420	623
403	421	621
404	422	620
405	422	618
406	423	617
407	424	615
408	425	614
409	425	612
410	426	611
411	426	609
412	427	607
413	428	606
414	428	604
415	429	602
416	430	601
417	430	599
418	431	597
419	431	596
420	432	594
421	433	593
422	433	591
423	434	590
424	435	588
425	435	587
426	436	585
427	437	584
428	437	582
429	438	581
430	439	580
431	440	578
432	440	577
433	441	575
434	442	574
435	442	572
436	443	571
437	444	570
438	445	568
439	445	567
440	446	566
441	447	564
442	448	563
443	448	561
444	449	560
445	450	559
446	451	558
447	451	556
448	452	555
449	453	553
450	453	552
451	454	551
452	455	550
453	456	548
454	456	547
455	457	545
456	458	544
457	459	543
458	459	541
459	460	540
460	460	538
461	461	537
462	462	535
463	462	534
464	463	533
465	463	531
466	464	530
467	465	528
468	465	527
469	466	525
470	466	524
471	467	522
472	468	522
473	469	521
474	470	519
475	471	518
476	472	518
477	473	517
478	474	515
479	474	514
480	475	513
481	476	512
482	477	510
483	477	509
484	478	508
485	479	506
486	479	505
487	480	503
488	480	502
489	481	501
490	481	499
491	482	498
492	483	497
493	484	496
494	485	495
495	486	493
496	486	492
497	487	491
498	488	489
499	488	488
500	489	487
501	489	486
502	490	484
503	491	483
504	492	482
505	492	481
506	493	479
507	494	478
508	494	477
509	495	475
510	495	474
511	496	473
512	497	472
513	498	471
514	499	470
515	500	469
516	500	467
517	501	466
518	501	465
519	502	463
520	503	462
521	504	461
522	504	460
523	505	459
524	506	457
525	506	456
526	507	455
527	507	454
528	508	452
529	509	451
530	509	450
531	510	448
532	510	447
533	511	446
534	512	445
535	512	443
536	513	443
537	514	442
538	515	440
539	516	439
540	517	438
541	517	437
542	518	436
543	519	435
544	520	434
545	520	433
546	521	431
547	522	430
548	522	429
549	524	428
550	524	427
551	525	426
552	526	425
553	526	424
554	527	423
555	529	422
556	530	421
557	530	420
558	531	419
559	532	418
560	532	416
561	533	415
562	534	414
563	534	413
564	535	412
565	536	411
566	536	409
567	537	408
568	537	407
569	538	406
570	539	405
571	539	404
572	540	402
573	541	401
574	541	400
575	542	399
576	543	398
577	544	397
578	545	396
579	545	395
580	546	394
581	547	392
582	547	391
583	548	390
584	549	389
585	549	388
586	550	387
587	550	386
588	551	384
589	552	383
590	552	382
591	553	381
592	553	380
593	554	378
594	555	377
595	555	376
596	556	375
597	556	374
598	557	373
599	558	372
600	559	371
601	559	370
602	560	368
603	560	367
604	561	366
605	562	365
606	563	364
607	564	363
608	564	362
609	565	361
610	566	360
611	566	359
612	567	358
613	568	357
614	568	356
615	569	354
616	570	353
617	570	352
618	571	351
619	571	350
620	573	349
621	573	348
622	574	347
623	575	346
